Id,num_steps,num_positions
seq_000000,3681,88
seq_000001,5920,88
seq_000002,1777,88
seq_000003,6550,88
seq_000004,1213,88
seq_000005,11520,88
seq_000006,4131,88
seq_000007,4547,88
seq_000008,7017,88
seq_000009,2745,88
seq_000010,2735,88
seq_000011,4843,88
seq_000012,5706,88
seq_000013,10242,88
seq_000014,3976,88
seq_000015,3413,88
seq_000016,2683,88
seq_000017,3077,88
seq_000018,3381,88
seq_000019,6562,88
seq_000020,3724,88
seq_000021,4566,88
seq_000022,5558,88
seq_000023,11291,88
seq_000024,3483,88
seq_000025,3838,88
seq_000026,4088,88
seq_000027,11314,88
seq_000028,3233,88
seq_000029,4449,88
seq_000030,3776,88
seq_000031,4510,88
seq_000032,3858,88
seq_000033,3079,88
seq_000034,3810,88
seq_000035,4351,88
seq_000036,1833,88
seq_000037,1471,88
seq_000038,5285,88
seq_000039,1343,88
seq_000040,5442,88
seq_000041,8964,88
seq_000042,4603,88
seq_000043,9529,88
seq_000044,5099,88
seq_000045,2349,88
seq_000046,3890,88
seq_000047,2889,88
seq_000048,3089,88
seq_000049,3279,88
seq_000050,1700,88
seq_000051,2595,88
seq_000052,1472,88
seq_000053,3305,88
seq_000054,9076,88
seq_000055,10876,88
seq_000056,6259,88
seq_000057,4746,88
seq_000058,3005,88
seq_000059,6342,88
seq_000060,4254,88
seq_000061,7049,88
seq_000062,4373,88
seq_000063,3521,88
seq_000064,9459,88
seq_000065,4570,88
seq_000066,6272,88
seq_000067,6658,88
seq_000068,3688,88
seq_000069,8368,88
seq_000070,2541,88
seq_000071,1198,88
seq_000072,9512,88
seq_000073,3163,88
seq_000074,2210,88
seq_000075,1843,88
seq_000076,5131,88
seq_000077,976,88
seq_000078,3054,88
seq_000079,6432,88
seq_000080,2021,88
seq_000081,5795,88
seq_000082,7191,88
seq_000083,2069,88
seq_000084,3972,88
seq_000085,5093,88
seq_000086,5580,88
seq_000087,3261,88
seq_000088,4029,88
seq_000089,2276,88
seq_000090,2528,88
seq_000091,2316,88
seq_000092,11140,88
seq_000093,6865,88
seq_000094,1497,88
seq_000095,5113,88
seq_000096,3995,88
seq_000097,7073,88
seq_000098,4201,88
seq_000099,4752,88
seq_000100,2306,88
seq_000101,4325,88
seq_000102,8649,88
seq_000103,2268,88
seq_000104,1725,88
seq_000105,5937,88
seq_000106,5758,88
seq_000107,4341,88
seq_000108,1873,88
seq_000109,3984,88
seq_000110,2166,88
seq_000111,4421,88
seq_000112,3634,88
seq_000113,5725,88
seq_000114,6862,88
seq_000115,5324,88
seq_000116,5057,88
seq_000117,2461,88
